,Country Name,indicator,Indicator Name_y,Indicator Name_x,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Type
20,Chile,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-1603.084143,-1942.934005,-1342.839635,-1282.0792609999999,-1547.707776,-1007.414861,-721.9089652000001,-696.9859992,-264.6372637,249.43018360000002,479.249043,605.8687480000001,330.266293,527.1181387,767.2136855,761.0593125,873.3744941,895.5012363,4481.778518,4197.406115,4819.004785,4880.158314,4731.263486,4341.941025,4391.054883,5151.327828,13706.598090000001,14925.282140000001,11861.652759999999,14074.5844,14049.44502,15268.1903,15768.154819999998,15562.505580000001,14181.04977,16477.1435,11277.62987,14922.236780000001,14278.09277,10726.40116,15093.268580000002,Tobacco
21,China,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",58213.510089999996,64450.60634,65035.124970000004,76104.17418999999,81628.79825,95375.71271,101579.046,98777.48615,110145.4692,107242.4046,113225.5649,131289.1498,143288.3668,146418.9444,162281.6268,54638.424029999995,205248.2755,222342.6173,229889.1573,250366.7121,280117.6854,194210.9017,220376.7458,227676.711,350736.4988,249556.3419,196671.1813,200381.4156,-13866.73125,-141411.75,-142600.4938,-103926.0063,-65030.1,-169307.2,-171246.6125,-326272.6,289550.5,288035.8,52616.1,21782.1,141901.1,Tobacco
22,Cameroon,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",47858.34669,51454.0492,41505.29958,43962.81709,44929.68739,51887.92918,44668.71559,48354.150219999996,58811.281610000005,50160.41985,57292.9349,56198.8483,56615.19695,51421.23736,52987.30966,54604.70292,48655.190389999996,53969.621979999996,66563.55636,54619.277420000006,62342.86074,58577.713379999994,51497.448939999995,57175.66707999999,56364.11787,57492.00385,127440.2702,104079.0601,127546.4524,82330.20122,97551.02947000001,136584.221,66054.59985,129508.1433,88212.66616000001,66678.71035,75325.20687000001,71222.58005,57978.58402,58420.04949,60974.09586,Tobacco
23,Colombia,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",36647.86011,29772.20018,30667.01483,41352.61122,47890.797439999995,36862.55705,44608.2443,47213.416860000005,50478.53638,45761.23188,48275.991689999995,49184.79837,38833.09836,41027.62592,43556.84091,51069.02625,44844.1162,42920.33296,51954.26645,49033.210680000004,51971.433339999996,56952.3962,40776.478339999994,44846.60117,48145.38115,47285.760330000005,23790.66776,19868.44468,27453.46743,18411.89907,14080.78734,28025.48272,37631.468160000004,11434.21718,10423.64455,31193.924110000004,19245.66924,14997.218519999999,11309.059729999999,6695.977344,10723.31266,Tobacco
24,Costa Rica,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",32.68162292,36.01125793,36.14528564,37.70200653,38.6888443,56.067317200000005,55.36512389999999,54.23599304,54.26725433,53.730368500000004,53.92592606,63.30694977,62.38768036,69.91330368,70.76502045,-77.54214905,74.68802811,90.803694,88.6027496,85.3871375,131.5086151,130.6277883,143.9786194,159.6633179,160.8950208,162.5180322,248.19268799999998,372.02759280000004,213.965858,1181.644482,317.50876889999995,259.651142,243.41212709999996,-311.9996997,149.2074915,1.562163086,-317.7793848,117.00511609999998,689.3834607999999,745.0796382,848.8139287,Tobacco
25,Cuba,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",564.3293613,2998.44435,2470.4858449999997,3756.726931,3299.369428,866.0063690999999,-657.0615293,1499.924566,1201.130092,2380.7017579999997,4341.762449,-624.6774452999999,-691.6006855,2363.357893,2685.893551,1134.9650490000001,1554.111871,1825.819291,-1647.069038,1185.504017,3236.1861879999997,4439.565664,4584.215434000001,4974.365193,3947.096718,2994.196572,1011.9554300000001,-332.9798682,-376.1315381,-248.38150980000003,4715.582446,6086.183690999999,6675.557683,4071.838926,3683.90106,1491.846323,7644.059706999999,2537.612793,4836.823547,7503.196268000001,8037.336225,Tobacco
26,Cyprus,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",34.40274475,38.87617737,23.13216034,24.62536682,28.87707581,30.71664032,35.39863953,27.5871756,38.15948975,35.72214417,32.68786438,34.72611877,34.89863403,36.81873047,45.32914001,-515.3330701,43.91231995,47.54792969,-73.32710854,-72.90696118,-10.85124536,-15.31724121,179.9715149,207.3599603,221.7970319,218.5528253,90.71836548,62.22165161,127.26753909999998,90.34602773,113.54756040000001,194.6097805,105.0478375,149.01188480000002,-30.72630371,-61.81474121,-131.75904540000002,,,-959.5825992999999,-784.4106565000001,Tobacco
27,Germany,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",6168.257812,18955.49219,19849.28125,18046.96875,20329.60938,21731.25,23471.16406,22863.85937,20275.21094,20480.10938,19448.71094,9314.484375,13942.171880000002,17417.57813,28733.45313,47178.85547,45346.39062,43684.36719,66321.03516,58970.827339999996,59144.39687999999,62223.16327999999,62743.46484,61257.08437999999,56971.82109,61054.985160000004,27236.172160000002,28004.35638,29731.290310000004,29853.027339999997,29809.00275,50573.19428,44981.19371,44657.7045,47185.57233,53940.61035,64896.832,80235.73173,48951.606889999995,49891.521160000004,65264.75674,Tobacco
28,Dominican Republic,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",247.6988804,235.4982892,291.3779482,298.5732397,255.24198859999998,318.68726549999997,335.9517281,502.8958013,422.05835599999995,335.6139153,597.123218,407.5729258,464.3967141,482.0652283,527.1868369,-422.3563545,602.1564707,513.1192534,872.6170947,912.0877625,826.449293,907.0796292000001,900.8440654999999,937.1843723999999,1013.087462,887.9914789,868.4705176000001,617.2257480000001,1514.115811,1259.840138,315.83163260000003,-184.9793213,-1.093057617,953.8211815999999,-561.1547013999999,174.3554631,-396.1427812,1152.613407,2133.543697,1377.703567,1465.972579,Tobacco
29,Algeria,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-258.4950371,-1946.571807,-550.2199072000001,347.4806055,-834.8969629,-1207.008398,-999.1979492,433.15874019999995,640.0044922000001,2383.502832,3489.081543,4000.519922,3228.186523,1840.3087890000002,2847.660156,3510.1707030000002,3893.229004,3964.5683590000003,3674.9729450000004,3810.877293,2521.6165739999997,2929.248242,3022.119941,3156.640039,3198.191211,3201.319434,4030.7896880000003,3784.731633,2795.990664,2121.310039,80.84517969,-1030.962273,103.585375,-1324.730289,-1266.5125699999999,1391.559297,-1012.011094,-4685.542188,-967.3613742999999,-2110.639108,-8205.257102,Tobacco
